Depth,GR,DT,DTS,RHOB,NPHI_LIM
548.0,99.6,67.7,116.2,2627.3,11.3
548.5,122.1,69.3,119.4,2659.3,16.9
549.0,137.1,70.2,120.9,2656.0,18.0
549.5,144.9,70.6,123.3,2661.9,18.9
550.0,165.9,70.1,122.8,2664.1,24.6
550.5,162.8,71.6,126.2,2681.4,20.8
551.0,171.8,73.6,128.2,2671.5,24.5
551.5,177.1,73.7,127.5,2664.5,24.9
552.0,180.3,72.5,124.2,2661.2,19.1
552.5,158.1,69.5,119.9,2669.8,17.3
553.0,134.1,70.1,119.9,2646.9,14.6
553.5,136.8,71.5,123.5,2627.9,14.4
554.0,136.9,72.3,124.6,2637.1,15.0
554.5,123.1,73.2,126.7,2582.1,15.7
555.0,126.8,73.8,127.8,2581.4,16.5
555.5,132.7,74.1,129.7,2584.5,14.6
556.0,106.6,75.2,130.3,2564.3,15.6
556.5,117.3,74.2,129.5,2566.7,16.8
557.0,119.3,74.1,130.0,2559.2,17.9
557.5,107.4,74.1,129.3,2568.1,16.6
558.0,108.1,73.1,126.6,2603.4,15.1
558.5,130.4,70.4,120.6,2626.2,15.4
559.0,117.2,67.5,116.6,2636.6,14.0
559.5,103.3,64.3,110.6,2624.2,13.2
560.0,90.0,60.8,105.6,2710.0,8.9
560.5,101.0,66.6,114.5,2763.8,10.4
561.0,127.9,67.6,114.7,2689.2,14.9
561.5,107.6,66.8,114.2,2625.6,11.7
562.0,101.3,67.9,115.5,2608.2,11.2
562.5,98.5,65.6,110.7,2615.2,14.0
563.0,89.3,64.2,108.3,2666.8,9.8
563.5,94.2,66.3,111.8,2647.2,10.1
564.0,99.4,68.8,118.5,2627.8,11.6
564.5,116.5,70.5,121.5,2593.2,15.7
565.0,116.6,71.9,124.4,2585.3,15.0
565.5,116.9,69.7,120.6,2619.7,16.1
566.0,105.7,65.4,112.2,2662.5,16.1
566.5,96.5,61.0,106.0,2800.5,7.6
567.0,104.0,64.3,112.0,2733.4,13.2
567.5,110.7,66.5,114.4,2708.7,16.5
568.0,112.4,66.4,114.2,2719.3,14.1
568.5,110.8,65.6,112.3,2696.0,14.8
569.0,102.8,64.8,110.5,2696.3,12.7
569.5,108.9,65.2,111.1,2698.6,13.2
570.0,105.9,65.1,110.3,2677.4,13.7
570.5,101.7,65.8,110.9,2684.2,11.7
571.0,106.3,65.5,111.2,2683.0,13.1
571.5,101.1,65.7,110.1,2670.7,11.5
572.0,98.0,65.9,111.1,2635.2,10.9
572.5,94.4,66.7,113.2,2633.3,12.1
573.0,89.1,64.6,107.2,2654.7,11.8
573.5,77.0,63.6,109.3,2691.3,9.2
574.0,89.1,67.2,116.2,2616.2,12.7
574.5,92.3,67.5,117.9,2618.5,14.1
575.0,89.7,64.1,109.4,2643.6,10.5
575.5,73.0,64.5,109.4,2657.1,7.9
576.0,86.7,66.9,112.0,2629.1,11.7
